experiment,id,date,data,extra,feedback
goalie_original,19,1/3/13,"1,15,86,20.092,0,92,25,16.382,3,90,45,11.416,2,85,28,10.562,4,91,84,14.728,5,86,91,11.11,6,24,8,9.833,7,71,75,18.529","1,2,39,6.853066666666667,1,1,1,2,1,2,2,1,1,2","Blame: If goalie went away from higher precentage, higher blame.Credit: If player saved a goal in which he went against the odds, higher credit."
goalie_original,20,1/3/13,"1,100,0,19.422,0,100,0,13.631,3,0,100,10.527,2,100,0,10.652,7,100,100,11.235,4,100,100,11.162,6,0,0,8.271,5,0,0,6.169","0,2,27,7.2834666666666665,1,2,1,2,1,1,2,2,1,1","I would blame the goalkeeper if they didn't choose the direction with the higher tendency, and I would credit them if they did choose the direction with the higher tendency."
goalie_original,21,1/3/13,"1,31,100,37.191,0,100,10,25.11,3,93,34,22.063,2,69,30,15.874,6,33,8,19.76,4,7,71,12.463,7,35,43,23.116,5,80,95,12.438","0,2,42,9.313716666666666,1,2,1,2,1,1,2,2,1,1",I gave a lot more credit to the goalkeeper when they blocked opposite to the striker's tendency.
goalie_original,22,1/3/13,"1,73,98,48.609,0,98,0,38.657,2,89,0,28.266,3,96,56,12.781,7,67,88,13.485,5,77,0,16.515,4,98,88,15.672,6,0,0,10.438","1,1,33,7.010666666666666,1,2,1,2,1,1,2,2,1,1","Based on how they made their decision on which side to take, meaning did they go with or against the odds. "
goalie_original,23,1/3/13,"0,100,0,15.667,1,0,100,7.435,2,100,0,8.854,3,100,0,6.329,4,100,100,10.091,5,100,100,7.06,7,0,0,9.618,6,0,0,5.51","0,2,34,5.761933333333333,1,2,1,2,1,1,2,2,1,1",If the goalkeeper only went the way which was favored by the striker than he can only be dredited with listening. If he was able to somehow sniff out it would go another direction then he should get the credit for figuiring it out. 
goalie_original,24,1/3/13,"0,80,21,22.334,1,94,36,13.587,2,18,45,11.169,3,27,62,8.492,6,10,5,15.068,5,43,26,10.08,4,84,30,24.75,7,86,62,8.84","1,1,27,6.5079666666666665,1,2,1,2,1,1,2,1,1,1",I think if the goalkeeper went to the lower number they were more to blame than going to the higher number. This is due to the fact that they were taking a risk going to the lower number.
goalie_original,25,1/3/13,"1,54,100,15.204,0,99,60,13.969,2,54,67,8.406,3,46,56,6.094,4,51,50,14.125,5,53,83,8.125,6,46,59,5.625,7,48,53,6.828","5,2,34,4.56745,1,1,2,2,1,2,2,1,1,2",Mine was based on a percentage. The higher the amount the goalkeeper should of went that way. 
goalie_original,26,1/3/13,"1,4,99,21.723,0,100,3,15.31,2,50,37,20.04,3,100,27,26.993,6,26,27,13.707,5,99,100,9.986,4,100,77,19.065,7,23,62,10.098","2,2,58,6.8998333333333335,1,2,1,2,1,1,2,2,1,1","Significantly, knowing gives you a leg up!!"
goalie_original,27,1/3/13,"0,100,9,17.519,1,8,98,13.723,3,60,23,49.654,2,38,17,12.978,7,8,15,25.914,6,21,65,13.842,5,8,33,9.553,4,79,24,10.289","2,1,21,8.4024,1,2,1,2,1,1,2,2,1,1","If they took a bigger risk, I gave them more credit. But also if they took a bigger risk and were wrong, I also assigned them more blame."
goalie_original,28,1/3/13,"1,57,100,30.821,0,82,60,12.061,2,78,45,16.353,3,82,69,10.169,7,56,81,9.676,5,66,80,13.655,4,87,59,15.653,6,75,58,18.94","5,2,43,9.319166666666666,1,2,1,2,1,1,2,2,1,1","If the goalkeeper's decision went against the general tendency of the striker, then the goalkeeper received more credit for a save and also received more blame for allowing a goal then if the goalkeeper's decision agreed with the general tendency."
goalie_original,29,1/3/13,"1,91,53,22.808,0,92,12,20.637,2,62,34,25.646,3,33,70,14.833,4,85,72,35.761,7,93,88,14.453,6,16,7,15.092,5,74,70,21.127","2,1,30,7.567166666666667,1,2,1,2,1,1,2,2,1,1",I figured that the goalkeeper should keep the tendencies in mind when deciding which direction to go.
goalie_original,30,1/3/13,"0,66,17,17.993,1,27,84,9.756,2,47,64,12.519,3,62,43,9.386,4,73,60,13.812,6,49,22,10.492,7,24,40,14.362,5,61,81,10.091","3,1,18,5.27455,1,2,1,2,1,1,2,2,1,1","By the percentages of the striker's tendency. The higher the percent, the less credit the goalkeeper got. "
goalie_original,31,1/3/13,"0,82,77,20.336,1,15,51,21.845,3,60,62,13.072,2,83,32,10.577,5,58,78,7.198,6,20,12,11.278,7,22,71,12.692,4,64,21,7.409","0,2,22,5.943233333333334,1,2,2,2,1,1,2,1,1,1","The higher the tendency, the lesser the blame"
goalie_original,32,1/3/13,"1,40,97,26.844,0,96,10,22.922,2,75,27,17.109,3,95,50,8.266,7,20,48,9.953,4,96,74,11.015,6,32,15,12.938,5,81,97,8.625","0,2,60,6.58125,1,2,1,2,1,1,2,2,1,2","if the goalie went with the odds and won, he was partly  responbsible"
goalie_original,33,1/3/13,"0,0,44,17.533,1,74,98,9.336,3,80,63,8.894,2,43,51,11.478,5,67,95,8.026,6,36,46,12.658,4,0,20,9.281,7,69,74,8.065","3,2,39,6.094533333333334,1,2,1,2,2,1,2,1,1,2","If the lower percentage was right, then that is better than luck it is calculated risk so I assigned a higher value to it."
goalie_original,34,1/3/13,"0,59,13,34.626,1,79,87,18.733,3,80,72,11.537,2,50,35,20.035,4,87,35,11.53,5,72,88,13.772,7,73,73,8.85,6,41,13,13.152","1,1,22,7.3441,1,2,2,2,1,1,2,1,1,1","If the percentage of the strikers tendency was quite a bit higher on one side and the goalkeeper dove on the side with less percentage and missed the ball, I thought they were higher at fault to blame. Credit went to the goalkeeper who took a risk and went to the lower tendency side. "
goalie_original,35,1/3/13,"0,100,100,32.451,1,100,100,28.743,2,100,55,17.315,3,100,100,10.856,4,100,100,19.155,6,34,12,18.811,5,100,100,16.937,7,100,100,13.895","0,1,32,7.2207333333333334,1,2,1,2,1,1,2,1,1,1",i was mostly to blame
goalie_original,36,1/3/13,"1,100,76,41.07,0,100,12,17.3,3,90,90,24.151,2,30,18,22.73,4,81,30,17.64,5,67,39,30.9,6,41,86,14.9,7,28,54,14.25","0,2,38,8.404533333333333,1,2,1,2,1,1,2,2,1,1",If the goalkeeper went in the direction of the strikers tendency thye deserved less blame if a goal is cored 
goalie_original,37,1/3/13,"1,66,100,18.017,0,77,49,20.565,2,48,65,15.944,3,90,68,9.941,7,65,66,7.729,6,45,87,15.125,4,84,60,10.094,5,84,98,13.303","0,1,24,8.981716666666667,1,2,1,2,2,1,2,2,1,1","Well if the goalkeeper just went with the tendency and saved it, he got partial credit for choosing the correct one, but he did have prior information so it wasn't all him. If he went with tendency and got it wrong, it was also partly his fault but not totally. If he went against it and got it right, that was ll his good judgement and he got full credit."
goalie_original,38,1/3/13,"0,94,7,26.751,1,54,96,17.126,2,44,43,18.851,3,84,81,10.436,5,82,95,17.282,6,35,15,17.169,4,84,51,22.805,7,52,56,13.574","3,2,23,7.2804,1,2,1,2,1,1,2,1,1,1",I just  went with whatever had the best percentage. I sometimes switched it up if it were a close pertecentage.
goalie_original,39,1/3/13,"0,75,0,26.708,1,67,91,11.706,3,88,82,12.033,2,48,40,14.499,5,63,73,7.914,6,20,8,14.01,7,47,72,14.533,4,76,60,19.746","1,2,28,6.120166666666667,1,1,2,2,1,1,2,2,1,1",I felt it is in the end a 50/50 proposition so I graded it towards the goalkeeper stopping the ball as an achievement.
goalie_original,40,1/3/13,"1,17,84,19.035,0,86,21,26.787,3,81,76,16.952,2,48,23,15.607,5,74,82,12.559,6,34,17,11.401,7,73,86,11.33,4,88,59,13.943","2,2,44,7.776633333333334,1,2,1,2,1,1,2,1,1,1",I was very influenced by the tendency percentages in assigning blame and credit.
goalie_original,41,1/3/13,"1,67,91,14.422,0,26,28,15.906,2,71,37,14.703,3,79,63,10.391,6,16,23,7.719,4,77,74,12.703,5,75,87,10.5,7,66,81,7.344","2,2,23,9.177083333333334,1,2,1,2,1,1,2,2,1,1","If the goalkeeper went against the tendency and the striker made a goal i would tend to say the goalkeeper is to blame.If the striker shot the ball on the side of his tendency and thats the same direction the goalkeper jumped i would tend to say he should get less credit.however if the goalkeeper went agianst the tendency and got it right, i would give him the most credit"
spinner_original,42,1/8/13,"1,77,67,10.367,0,32,47,10.872,2,75,53,6.986,3,72,71,6.562,6,54,47,6.283,7,49,56,6.414,4,54,52,7.487,5,53,77,7.115","0,1,26,3.0092666666666665,1,2,1,2,1,1,2,2,1,2",MPNE
spinner_original,43,1/8/13,"0,2,1,11.451,1,100,3,15.214,3,35,8,12.372,2,26,9,9.871,6,30,9,7.171,4,13,5,9.571,7,58,65,7.291,5,14,4,7.771","4,2,24,4.453866666666666,1,2,1,2,1,1,2,2,1,1",Everything is random chance but if a player went with the more probable choice I'd say he influenced the outcome.
spinner_original,44,1/8/13,"1,72,15,15.173,0,71,25,10.633,3,34,58,10.201,2,65,40,17.518,6,28,16,26.514,7,75,57,7.622,4,85,59,9.555,5,36,17,9.57","0,1,28,3.8982666666666668,1,2,1,2,1,1,2,2,1,1",Very much
spinner_original,45,1/8/13,"0,80,0,35.37,1,81,0,17.745,2,0,60,16.644,3,0,60,13.241,4,89,71,23.014,5,0,0,8.189,6,0,0,8.991,7,82,72,11.212","2,2,29,4.74055,1,2,1,2,1,1,2,2,1,1",I was very much influence by what I thought was the optimal change was.
spinner_original,46,1/8/13,"1,100,100,16.547,0,97,28,17.676,3,72,96,14.416,2,85,56,14.953,4,93,68,11.701,7,98,90,8.468,6,68,25,15.159,5,91,100,9.816","0,1,53,5.7,1,2,1,2,1,1,2,2,1,1","If they went against the odds and loss, I assigned a greater blame. If they went with the odds and loss, I assigned a smaller blame. "
spinner_original,47,1/8/13,"0,84,18,15.249,1,92,45,16.248,2,69,37,13.871,3,39,76,8.704,6,32,91,16.219,5,39,30,18.352,7,90,90,8.227,4,25,20,11.505","0,1,43,5.998333333333333,1,2,1,2,1,1,2,2,1,1","If they went with the odds, I felt they didn't deserve a lot of the negative while they did deserve a lot of the positive, since they went with the logical choice. For the ones who were riskier, I felt they deserved more of the negative."
spinner_original,48,1/8/13,"1,48,84,29.729,0,81,48,15.645,2,40,74,16.919,3,37,60,10.549,5,40,83,12.014,4,18,36,19.655,7,52,70,18.02,6,66,33,15.276","4,1,53,5.994666666666666,2,1,1,2,1,1,2,2,1,1",I made my choices based on the odds by perctages.
spinner_original,49,1/8/13,"1,9,94,18.829,0,94,11,16.521,3,86,44,16.533,2,29,79,24.435,4,11,69,30.756,6,20,8,16.211,5,69,94,11.826,7,5,40,13.148","1,2,34,6.2168,1,2,1,2,1,1,2,1,1,1","Very much so, if the odds were against winning and myself or the player chose against them they/I deserve credit."
spinner_original,50,1/8/13,"0,100,100,20.289,1,100,0,10.835,2,69,73,14.686,3,63,76,8.326,5,26,8,10.323,4,0,16,9.367,6,22,0,11.366,7,100,77,7.089","1,1,33,4.459,1,2,1,2,1,1,2,1,1,1","If there was a greater probability of success with one choice and the person chose that choice and got the answer wrong, I did not blame them very much."
spinner_original,51,1/8/13,"1,73,75,22.153,0,10,57,21.187,3,68,84,11.196,2,23,45,14.493,4,8,14,10.318,5,77,70,8.712,6,44,71,9.832,7,75,67,9.011","0,1,27,5.614716666666666,1,2,1,2,1,2,2,2,1,2","If the numbers were high and they didn't choose them then they got more blame for negative outcomes. If they chose the correct low numbers, they got more credit for positive outcomes."
spinner_original,52,1/8/13,"0,7,7,30.342,1,100,100,32.263,3,100,100,14.213,2,57,7,20.42,5,100,100,13.125,4,100,11,13.592,6,6,7,17.171,7,100,100,10.565","0,1,40,5.573066666666667,1,2,1,2,1,1,2,2,1,1",I would assign more blame if the player chose a less likely outcome by percentage and got the spin wrong. 
spinner_original,53,1/8/13,"1,48,98,26.719,0,97,0,12.078,2,98,0,9.688,3,99,50,9.546,7,98,97,9.969,4,98,61,13.016,6,0,0,11.047,5,80,97,8.641","0,1,33,3.9484333333333335,1,2,1,2,1,1,2,2,1,1",if they were risk taking
spinner_original,54,1/8/13,"1,71,99,25.603,0,99,55,25.101,2,18,18,15.778,3,84,86,8.797,5,93,100,10.525,6,60,55,16.121,7,28,33,11.741,4,100,65,13.172","1,1,41,5.609583333333333,1,2,1,2,1,1,2,2,1,1",One shouldnt bet on the color that has only 20% chance of winning. and it is only natural to bet on the color that has 80% chance of winning
spinner_original,55,1/8/13,"1,53,50,18.895,0,51,48,10.3,3,47,51,9.023,2,49,50,10.503,4,52,47,11.656,7,48,48,6.006,5,48,50,5.628,6,47,50,5.586","0,1,34,3.9621833333333334,1,2,1,2,1,1,2,2,1,1","I figured they had fifty percent either way, they had to choose, but it also depended on the wheel/spin itself."
spinner_original,56,1/8/13,"1,84,35,18.126,0,0,96,16.316,2,0,51,11.306,3,34,92,10.521,4,0,1,6.561,5,32,12,14.49,6,97,96,9.875,7,97,98,7.796","0,2,47,4.498566666666667,1,2,1,2,1,1,2,2,1,2",by if they chose the best chance of winning or took a chance on the lower percentage
spinner_original,57,1/8/13,"1,98,3,37.85,0,97,0,29.451,2,98,0,19.239,3,17,97,37.461,7,99,98,18.147,5,5,0,21.878,4,98,96,19.851,6,1,0,25.539","3,1,48,7.922433333333333,1,2,1,2,1,1,2,2,1,1","If a player went against the odds, he was totally to blame. If a player went with the odds, they deserved  the credit."
spinner_original,58,1/8/13,"1,82,17,15.825,0,78,5,22.582,2,48,33,19.898,3,59,71,10.268,4,79,41,13.575,7,89,88,9.081,5,60,38,7.043,6,42,12,12.467","1,2,22,5.1079,1,2,1,2,1,1,2,2,1,1","I placed no significant blame on decisions that favored the probabilities. When subjects went out on a limb, I leaned towards more blame."
spinner_original,59,1/8/13,"0,80,15,14.404,1,0,0,10.893,2,10,51,9.631,3,11,35,13.645,5,9,0,9.106,7,79,52,16.966,6,25,71,8.125,4,77,59,10.392","4,1,40,4.7883,1,2,1,2,1,1,2,2,1,1","The greater the probability of a certain color, the greater the chance of getting it correct. People who went that route got less blame if the answer was incorrect than if they had selected the low-probability color."
spinner_original,60,1/8/13,"1,46,85,19.438,0,82,16,16.016,3,83,41,11.016,2,28,75,9.265,7,30,31,9.671,4,88,88,6.391,5,77,90,8.453,6,50,39,9.421","1,1,23,5.3411333333333335,1,2,1,2,2,1,2,2,1,1",I thought they were more responsible for the outcome when chose the one with less probability.
spinner_original,61,1/8/13,"0,9,74,24.656,1,50,88,20.493,2,47,17,15.556,3,26,50,14.381,5,70,82,12.042,4,24,35,14.572,6,66,81,11.426,7,13,26,9.711","3,1,46,7.859016666666666,1,2,1,2,1,1,2,2,1,1",They werent
spinner_original,62,1/8/13,"1,100,0,34.359,0,100,0,54.469,3,0,100,27.172,2,100,0,38.734,6,0,0,20.703,7,100,100,16.047,4,100,100,14.703,5,0,0,13.047","1,2,30,8.129166666666666,1,2,1,2,1,1,2,2,1,1","Unless I slipped up, which I may have at first, here is how I decided. If they didn't go with the best probability when we assume they are independent events, they're idiots. If they won in such a situation, they got lucky by no fault of their own. If they lost, that's their fault. If they chose the higher probability and won, their fault. If they lost, not their fault. CHOOSE THE BEST PROBABILITY!"
spinner_original,63,1/8/13,"1,48,0,33.359,0,75,0,23.687,2,20,35,10.844,3,28,44,10.843,7,22,61,16,6,13,0,10.953,4,100,39,8.359,5,37,64,10.39","1,1,22,5.6159,1,2,1,2,1,1,2,2,1,1","If the player picked something with only a 20% chance of success, of course they were to blame if they lost. Playing on the safer probability means the player should get more credit for winning or less blame for losing."
spinner_original,64,1/8/13,"0,100,0,17.938,1,0,100,13.887,3,74,24,13.722,2,62,26,20.002,5,69,100,6.917,4,100,77,6.286,6,69,0,10.558,7,0,21,7.56","0,2,21,4.1568,1,2,1,2,1,1,2,2,1,1","If they chose the lesser percent and were correct, they were credited more because they took the gamble and won, but if they chose the lesser percent and lost, they were more to blame for not playing the odds."
spinner_original,65,1/8/13,"0,82,12,18.705,1,85,7,13.735,2,63,0,17.55,3,9,86,8.98,6,13,0,23.436,5,10,0,12.713,4,95,71,10.955,7,93,0,10.051","0,2,23,4.79875,1,2,1,2,1,1,2,2,1,1","If they picked the favorable percentage, than he didn't need much blame."
spinner_original,66,1/8/13,"0,100,0,14.447,1,96,0,9.349,3,58,75,8.225,2,84,31,14.352,5,56,16,9.39,7,100,69,7.382,4,100,55,9.677,6,33,9,9.796","0,2,23,3.5705666666666667,1,2,1,2,1,1,2,2,1,1",
spinner_original,67,1/8/13,"1,40,63,15.479,0,17,56,16.576,2,21,17,14.149,3,80,85,10.237,6,28,39,10.686,4,65,44,10.811,7,68,67,11.667,5,78,76,8.5","2,1,40,4.8909666666666665,1,2,1,2,1,1,2,2,1,2","Those that chose the majority answer (choice was 80% or more), they were most likely acting on the ""safe answer""; those who chose the minority option were taking the risk - if they failed, they should have perhaps stuck with the safe choice.  "
spinner_original,68,1/8/13,"1,83,0,15.049,0,100,0,12.606,3,9,46,12.501,2,50,0,9.241,5,18,0,8.656,6,0,0,12.13,4,100,66,7.931,7,100,100,6.459","0,2,24,4.202233333333333,1,2,1,2,1,1,2,2,1,1","If they chose the lower probability, then they did not really deserve much credit and they were deserving of blame if they won/lost respectively."
spinner_original,69,1/8/13,"1,17,90,12.375,0,93,22,12.829,2,61,30,11.812,3,75,25,9.953,4,84,60,42.125,7,16,35,8.531,6,27,5,8.39,5,75,95,13.593","3,2,25,8.285933333333332,1,2,1,2,1,1,2,2,1,1","If a player guessed correctly even though the percentage was lower, he gets more credit for not just simply going with the percentages. However if he went with the lower percentage and was wrong, then he gets more blame."
spinner_original,70,1/8/13,"1,100,2,31.468,0,100,2,22.515,3,1,99,20.125,2,99,1,36.532,6,1,1,28.531,5,2,4,28.796,4,100,100,22.75,7,100,100,17.234","6,2,48,8.080466666666666,1,2,1,2,1,1,2,2,1,1",Always pick the highest probability.
spinner_original,71,1/8/13,"1,89,9,24.741,0,87,13,27.392,3,18,89,16.264,2,79,20,20.388,7,85,83,18.947,6,23,16,19.541,4,83,38,18.19,5,23,13,16.389","1,1,32,6.62015,1,2,1,2,1,1,2,2,1,1","If the player used the majority percentage to determine the probable outcome, then they used their brains to compute the probability, and credit is due."
spinner_original,72,1/8/13,"1,60,87,12.996,0,88,20,25.669,2,67,38,10.622,3,35,80,8.581,6,37,91,7.864,5,49,62,10.145,7,81,80,6.713,4,88,57,6.393","1,2,27,5.176,1,2,1,2,1,1,2,2,1,1",I did it based on whoever picked the lowest percentage and lost got the highest blame.
spinner_original,73,1/8/13,"0,63,0,15.665,1,100,57,10.895,2,6,36,9.502,3,11,45,6.593,4,85,31,8.643,6,12,76,8.803,5,30,7,7.756,7,85,63,6.304","0,2,22,4.23175,1,2,1,2,2,1,2,1,1,1","If the person went against the color with the greatest percentage, I would usually consider them more at fault and vice-versa for positive outcomes."
spinner_original,74,1/8/13,"0,77,17,22.562,1,81,26,14.344,3,37,63,33.088,2,67,44,17.988,4,82,65,29.09,6,38,22,16.514,7,18,34,26.053,5,61,77,11.351","4,2,24,7.768383333333333,1,2,1,2,1,1,2,1,1,2","The probablilties had significant influences on my blame and credit choices. If a player made a decision against the probability, they were to blame/credit and vice versa."
spinner_original,75,1/8/13,"0,100,0,25.196,1,0,100,19.976,2,100,0,20.392,3,100,5,13.062,5,0,100,12.947,6,0,0,9.668,7,0,0,10.365,4,100,100,12.137","0,2,26,6.918383333333334,1,1,1,2,1,1,2,2,1,1",If someone took a risk and won the round they received the credit but if they didn't they received blame.Risk: Yellow is 20% and Blue is 80%. Participant selected Yellow. 
spinner_original,76,1/8/13,"0,46,57,14.078,1,50,54,6.219,2,45,47,15.282,3,50,48,7.328,6,44,47,43.89,5,45,53,7.281,7,45,53,7.657,4,45,50,9.047","0,1,33,7.062766666666667,1,2,1,2,1,1,2,1,1,2","I don't think it is a blame/credit situation. Yes, there are probabilites, but the wheel is going to land where it's going to land, and sometimes risks pay off."
spinner_original,77,1/8/13,"0,96,0,38.846,1,94,3,18.119,2,80,2,19.633,3,13,95,11.961,5,13,3,23.852,4,100,96,14.364,6,96,100,11.801,7,100,97,10.755","2,1,30,7.123916666666666,1,2,1,2,1,1,2,2,1,1",My blame and credit attributions were completely influenced by the probabilities. I blamed a person more if they lost due to making a poor choice (betting against what was probable) and I gave them more credit if they chose wisely and correctly. 
spinner_original,78,1/8/13,"1,16,87,30.53,0,86,7,33.018,2,27,65,13.417,3,75,53,18.019,4,82,28,14.061,7,10,29,9.469,6,26,8,12.63,5,67,94,13.494","4,1,43,9.216883333333334,1,2,1,2,1,1,2,2,1,2",If the person chose the highest percentage of possibility to be right then I didn't think they should take the credit or the blame if that is how it turned out.
spinner_original,79,1/8/13,"1,65,100,18.248,0,61,12,17.689,2,0,16,14.726,3,73,50,13.615,7,28,33,12.182,5,84,94,8.052,4,57,50,15.07,6,0,0,20.736","8,1,22,6.668516666666667,1,2,1,2,1,1,2,2,1,1","I assigned blame and credit attributions based upon their choice and the outcome.  For instance, the person guesses yellow and there is only a 20% chance of the wheel landing on yellow, but if the wheel does land on yellow that person deserves credit, if it does not, they deserve blame for not choosing the more probable color."
spinner_original,80,1/8/13,"0,76,0,28.635,1,99,12,44.902,3,39,76,24.525,2,11,12,26.444,5,15,5,32.834,7,84,65,18.214,4,78,38,21.549,6,37,11,19.533","0,2,50,12.17015,1,2,1,2,1,1,2,2,1,1","if the for example the probability of the outcome was %60 yellow and %40 blue and a player chose yellow and the outcome was yellow. The player received %60 credit for choosing the correct answer. if the outcome was blue, the player received the difference being %10 percent bllame for choosing the wrong oucome because he chose the utcome with the greatest probability. If the player chose blue and the outcome was yellow then the blame would be %40 for choosing the more unlikely answer. If the result was blue however, the player would be credited %10 for choosing the least likely answer even though it was right."
spinner_original,81,1/8/13,"0,97,5,24.566,1,96,10,23.547,3,41,45,24.521,2,60,23,17.418,7,77,47,13.094,4,89,36,17.24,6,31,6,12.176,5,26,8,14.772","2,2,50,6.475183333333334,1,2,1,2,1,1,2,2,1,1",if it was high probability and they chose it-they deserve credit
